fullDisplayName,category,assessment,columnHeader,description
Gambling Task Percentage No Logged Response in Punish,In-Scanner Task Performance,Gambling,Gambling_Task_Punish_Perc_NLR,Percentage of Punish Trials with no response logged in GAMBLING task
Language Task OVERALL accuracy,In-Scanner Task Performance,Language,Language_Task_Acc,Average of accuracy from each condition in the LANGUAGE task
Language Task OVERALL median Reaction Time,In-Scanner Task Performance,Language,Language_Task_Median_RT,Average of median correct Reaction Time from each condition in LANGUAGE task
Language Task STORY accuracy,In-Scanner Task Performance,Language,Language_Task_Story_Acc,Accuracy Percentage during STORY condition in LANGUAGE task
Language Task STORY median Reaction Time,In-Scanner Task Performance,Language,Language_Task_Story_Median_RT,Median Reaction Time for correct trials during STORY condition in LANGUAGE task
Language Task STORY difficulty level,In-Scanner Task Performance,Language,Language_Task_Story_Avg_Difficulty_Level,Average difficulty level of stimuli presented during STORY condition in LANGUAGE task
Language Task MATH accuracy,In-Scanner Task Performance,Language,Language_Task_Math_Acc,Accuracy Percentage during MATH condition in LANGUAGE task
Language Task MATH median Reaction Time,In-Scanner Task Performance,Language,Language_Task_Math_Median_RT,Median Reaction Time for correct trials during MATH condition in LANGUAGE task
Language Task MATH difficulty level,In-Scanner Task Performance,Language,Language_Task_Math_Avg_Difficulty_Level,Average difficulty level of stimuli presented during MATH condition in LANGUAGE task
Relational Task OVERALL accuracy,In-Scanner Task Performance,Relational,Relational_Task_Acc,Average accuracy Percentage during RELATIONAL task
Relational Task OVERALL Reaction Time,In-Scanner Task Performance,Relational,Relational_Task_Median_RT,Average of median Reaction Times from each condition in RELATIONAL task
Relational Task MATCH accuracy,In-Scanner Task Performance,Relational,Relational_Task_Match_Acc,Accuracy Percentage during MATCH blocks in RELATIONAL task
Relational Task MATCH median Reaction Time,In-Scanner Task Performance,Relational,Relational_Task_Match_Median_RT,Median Reaction Time for correct trials during MATCH blocks in RELATIONAL task
Relational Task RELATIONAL block (REL) accuracy,In-Scanner Task Performance,Relational,Relational_Task_Rel_Acc,Accuracy Percentage during RELATIONAL blocks in RELATIONAL task
Relational Task RELATIONAL block (REL) median Reaction Time,In-Scanner Task Performance,Relational,Relational_Task_Rel_Median_RT,Median Reaction Time for correct trials during RELATIONAL blocks in RELATIONAL task
Social Task Overall Percentage 'Random',In-Scanner Task Performance,Social,Social_Task_Perc_Random,Overall Percentage of stimuli that the subject rated as 'random' in SOCIAL task
Social Task Overall Percentage 'TOM',In-Scanner Task Performance,Social,Social_Task_Perc_TOM,Overall Percentage of stimuli that received a 'social' (theory of mind) rating in SOCIAL task
Social Task Overall Percentage 'Unsure',In-Scanner Task Performance,Social,Social_Task_Perc_Unsure,Overall Percentage of stimuli that received a 'unsure' rating in SOCIAL task
Social Task Overall Percentage No Logged Response,In-Scanner Task Performance,Social,Social_Task_Perc_NLR,Overall Percentage of stimuli with no response logged in SOCIAL task
Social Task Overall Reaction Time 'Random',In-Scanner Task Performance,Social,Social_Task_Median_RT_Random,Average of Median Reaction Times from stimuli that the subject rated as 'random' in SOCIAL task
Social Task Overall Reaction Time 'TOM',In-Scanner Task Performance,Social,Social_Task_Median_RT_TOM,Average of Median Reaction Times from stimuli that received a 'social' (theory of mind) rating in SOCIAL task
Social Task Overall Reaction Time 'Unsure',In-Scanner Task Performance,Social,Social_Task_Median_RT_Unsure,Average of Median Reaction Times from stimuli that received an 'unsure' rating in SOCIAL task
Social Task Percentage 'Random' in Random condition,In-Scanner Task Performance,Social,Social_Task_Random_Perc_Random,Percentage of Random stimuli that the subject rated as 'random' in SOCIAL task
Social Task Median Reaction Time 'Random' in Random condition,In-Scanner Task Performance,Social,Social_Task_Random_Median_RT_Random,Median Reaction Time for Random stimuli that the subject rated as 'random' in SOCIAL task
Social Task Percentage 'TOM' in Random condition,In-Scanner Task Performance,Social,Social_Task_Random_Perc_TOM,Percentage of stimuli that received a 'social' (theory of mind) rating in SOCIAL task
Social Task Median Reaction Time 'TOM' in Random condition,In-Scanner Task Performance,Social,Social_Task_Random_Median_RT_TOM,Median Reaction Time for Random stimuli that received a 'social' (theory of mind) rating in SOCIAL task
Social Task Percentage 'Unsure' in Random condition,In-Scanner Task Performance,Social,Social_Task_Random_Perc_Unsure,Percentage of Random stimuli that received a 'unsure' rating in SOCIAL task
Social Task Median Reaction Time 'Unsure' in Random condition,In-Scanner Task Performance,Social,Social_Task_Random_Median_RT_Unsure,Median Reaction Time for Random stimuli that received a 'unsure' rating in SOCIAL task
Social Task Percentage No Logged Response in Random condition,In-Scanner Task Performance,Social,Social_Task_Random_Perc_NLR,Percentage of Random stimuli with no response logged in SOCIAL task
Social Task Percentage 'Random' in Social (TOM) condition,In-Scanner Task Performance,Social,Social_Task_TOM_Perc_Random,Percentage of Social (TOM) stimuli that the subject rated as 'random' in SOCIAL task
Social Task Median Reaction Time 'Random' in Social (TOM) condition,In-Scanner Task Performance,Social,Social_Task_TOM_Median_RT_Random,Median Reaction Time for Social (TOM) stimuli that the subject rated as 'random' in SOCIAL task
Social Task Percentage 'TOM' in Social (TOM) condition,In-Scanner Task Performance,Social,Social_Task_TOM_Perc_TOM,Percentage of Social (TOM) stimuli that received a 'social' rating in SOCIAL task
Social Task Median Reaction Time 'TOM' in Social (TOM) condition,In-Scanner Task Performance,Social,Social_Task_TOM_Median_RT_TOM,Median Reaction Time for Social (TOM) stimuli that received a 'social' rating in SOCIAL task
Social Task Percentage 'Unsure' in Social (TOM) condition,In-Scanner Task Performance,Social,Social_Task_TOM_Perc_Unsure,Percentage of Social (TOM) stimuli that received a 'unsure' rating in SOCIAL task
Social Task Median Reaction Time 'Unsure' in Social (TOM) condition,In-Scanner Task Performance,Social,Social_Task_TOM_Median_RT_Unsure,Median Reaction Time for Social (TOM) stimuli that received a 'unsure' rating in SOCIAL task
Social Task Percentage No Logged Response in Social (TOM) condition,In-Scanner Task Performance,Social,Social_Task_TOM_Perc_NLR,Percentage of Social (TOM) stimuli with no response logged in SOCIAL task
Working Memory Task Overall Accuracy,In-Scanner Task Performance,Working Memory,WM_Task_Acc,Accuracy across all conditions in WM task
Working Memory Task Overall Reaction Time,In-Scanner Task Performance,Working Memory,WM_Task_Median_RT,Average of Median Reaction Time for all conditions in WM task
Working Memory Task Accuracy for 2-back,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Acc,Accuracy across all conditions in 2-back
Working Memory Task Median Reaction Time for 2-back,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Median_RT,Average of Median Reaction Time for all conditions in 2-back
Working Memory Task Accuracy for 0-back,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Acc,Accuracy across all conditions in 0-back
Working Memory Task Median Reaction Time for 0-back,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Median_RT,Average of Median Reaction Time for all conditions in 0-back
Working Memory Task Accuracy for 0-back Body,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Body_Acc,Accuracy across all trials in 0-back body condition
Working Memory Task Accuracy for 0-back Body Targets,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Body_Acc_Target,Accuracy across target trials in 0-back body condition
Working Memory Task Accuracy for 0-back Body Nontargets,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Body_Acc_Nontarget,Accuracy across nontarget trials in 0-back body condition
Working Memory Task Accuracy for 0-back Face,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Face_Acc,Accuracy across all trials in 0-back face condition
Working Memory Task Accuracy for 0-back Face Targets,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Face_Acc_Target,Accuracy across target trials in 0-back face condition
Working Memory Task Accuracy for 0-back Face Nontargets,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Face_ACC_Nontarget,Accuracy across nontarget trials in 0-back face condition
Working Memory Task Accuracy for 0-back Place,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Place_Acc,Accuracy across all trials in 0-back place condition
Working Memory Task Accuracy for 0-back Place Targets,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Place_Acc_Target,Accuracy across target trials in 0-back place condition
Working Memory Task Accuracy for 0-back Place Nontargets,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Place_Acc_Nontarget,Accuracy across nontarget trials in 0-back place condition
Working Memory Task Accuracy for 0-back Tool,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Tool_Acc,Accuracy across all trials in 0-back tool condition
Working Memory Task Accuracy for 0-back Tool Targets,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Tool_Acc_Target,Accuracy across target trials in 0-back tool condition
Working Memory Task Accuracy for 0-back Tool Nontargets,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Tool_Acc_Nontarget,Accuracy across nontarget trials in 0-back tool condition
Working Memory Task Accuracy for 2-back Body,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Body_Acc,Accuracy across all trials in 2-back body condition
Working Memory Task Accuracy for 2-back Body Targets,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Body_Acc_Target,Accuracy across target trials in 2-back body condition
Working Memory Task Accuracy for 2-back Body Nontargets,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Body_Acc_Nontarget,Accuracy across nontarget trials in 2-back body condition
Working Memory Task Accuracy for 2-back Face,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Face_Acc,Accuracy across all trials in 2-back face condition
Working Memory Task Accuracy for 2-back Face Targets,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Face_Acc_Target,Accuracy across target trials in 2-back face condition
Working Memory Task Accuracy for 2-back Face Nontargets,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Face_Acc_Nontarget,Accuracy across nontarget trials in 2-back face condition
Working Memory Task Accuracy for 2-back Place,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Place_Acc,Accuracy across all trials in 2-back place condition
Working Memory Task Accuracy for 2-back Place Targets,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Place_Acc_Target,Accuracy across target trials in 2-back place condition
Working Memory Task Accuracy for 2-back Place Nontargets,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Place_Acc_Nontarget,Accuracy across nontarget trials in 2-back place condition
Working Memory Task Accuracy for 2-back Tool,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Tool_Acc,Accuracy across all trials in 2-back tool condition
Working Memory Task Accuracy for 2-back Tool Targets,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Tool_Acc_Target,Accuracy across target trials in 2-back tool condition
Working Memory Task Accuracy for 2-back Tool Nontargets,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Tool_Acc_Nontarget,Accuracy across nontarget trials in 2-back tool condition
Working Memory Task Median Reaction Time for 0-back Body,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Body_Median_RT,Median Reaction Time across all correct trials in 0-back body condition
Working Memory Task Median Reaction Time for 0-back Body Targets,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Body_Median_RT_Target,Median Reaction Time across correct target trials in 0-back body condition
Working Memory Task Median Reaction Time for 0-back Body Nontargets,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Body_Median_RT_Nontarget,Median Reaction Time across correct nontarget trials in 0-back body condition
Working Memory Task Median Reaction Time for 0-back Face,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Face_Median_RT,Median Reaction Time across all correct trials in 0-back face condition
Working Memory Task Median Reaction Time for 0-back Face Targets,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Face_Median_RT_Target,Median Reaction Time across correct target trials in 0-back face condition
Working Memory Task Median Reaction Time for 0-back Face Nontargets,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Face_Median_RT_Nontarget,Median Reaction Time across correct nontarget trials in 0-back face condition
Working Memory Task Median Reaction Time for 0-back Place,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Place_Median_RT,Median Reaction Time across all correct trials in 0-back place condition
Working Memory Task Median Reaction Time for 0-back Place Targets,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Place_Median_RT_Target,Median Reaction Time across correct target trials in 0-back place condition
Working Memory Task Median Reaction Time for 0-back Place Nontargets,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Place_Median_RT_Nontarget,Median Reaction Time across correct nontarget trials in 0-back place condition
Working Memory Task Median Reaction Time for 0-back Tool,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Tool_Median_RT,Median Reaction Time across all correct trials in 0-back tool condition
Working Memory Task Median Reaction Time for 0-back Tool Targets,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Tool_Median_RT_Target,Median Reaction Time across correct target trials in 0-back tool condition
Working Memory Task Median Reaction Time for 0-back Tool Nontargets,In-Scanner Task Performance,Working Memory,WM_Task_0bk_Tool_Median_RT_Nontarget,Median Reaction Time across correct nontarget trials in 0-back tool condition
Working Memory Task Median Reaction Time for 2-back Body,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Body_Median_RT,Median Reaction Time across all correct trials in 2-back body condition
Working Memory Task Median Reaction Time for 2-back Body Targets,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Body_Median_RT_Target,Median Reaction Time across correct target trials in 2-back body condition
Working Memory Task Median Reaction Time for 2-back Body Nontargets,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Body_Median_RT_Nontarget,Median Reaction Time across correct nontarget trials in 2-back body condition
Working Memory Task Median Reaction Time for 2-back Face,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Face_Median_RT,Median Reaction Time across all correct trials in 2-back face condition
Working Memory Task Median Reaction Time for 2-back Face Targets,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Face_Median_RT_Target,Median Reaction Time across correct target trials in 2-back face condition
Working Memory Task Median Reaction Time for 2-back Face Nontargets,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Face_Median_RT_Nontarget,Median Reaction Time across correct nontarget trials in 2-back face condition
Working Memory Task Median Reaction Time for 2-back Place,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Place_Median_RT,Median Reaction Time across all correct trials in 2-back place condition
Working Memory Task Median Reaction Time for 2-back Place Targets,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Place_Median_RT_Target,Median Reaction Time across correct target trials in 2-back place condition
Working Memory Task Median Reaction Time for 2-back Place Nontargets,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Place_Median_RT_Nontarget,Median Reaction Time across correct nontarget trials in 2-back place condition
Working Memory Task Median Reaction Time for 2-back Tool,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Tool_Median_RT,Median Reaction Time across all correct trials in 2-back tool condition
Working Memory Task Median Reaction Time for 2-back Tool Targets,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Tool_Median_RT_Target,Median Reaction Time across correct target trials in 2-back tool condition
Working Memory Task Median Reaction Time for 2-back Tool Nontargets,In-Scanner Task Performance,Working Memory,WM_Task_2bk_Tool_Median_RT_Nontarget,Median Reaction Time across correct nontarget trials in 2-back tool condition
NIH Toolbox 2-minute Walk Endurance Test : Unadjusted Scale Score,Motor,Endurance (2 minute walk test),Endurance_Unadj,"This test measures sub-maximal cardiovascular endurance by recording the distance that the participant is able to walk on a 50-foot (out and back) course in 2 minutes.  The participant's raw score is the distance in feet and inches walked in 2 minutes. Unadjusted Scale Score: Participant raw score is normed to those in the entire NIH Toolbox Normative Sample (18 and older), regardless of age or any other variable, where a score of 100 indicates performance that was at the national average and a score of 115 or 85, indicates performance 1 SD above or below the national average. "
